coref_text,paragraph_number
"Towards the close of Burney's life Burney was paid £1000 for contributing to Rees's's Cyclopædia all the musical articles not belonging to the department of natural philosophy and mathematics. all the musical articles not belonging to the department of natural philosophy and mathematics were written by John Farey, Sr and Jr. Burney's contribution to Rees's included much new material which had not appeared in Burney's earlier writings, particularly about the London music scene then. In 1783, through the treasury influence of Burney's friend Edmund Burke, Burney was appointed organist to the chapel of Chelsea Hospital. Burney moved there from St Martin's Street, Leicester Square and remained there for the rest of Burney's life. In 1810, Burney was made a member of the Institute of France and nominated a correspondent in the class of the fine arts. From 1806 until Burney's death Burney enjoyed a pension of £300 granted by Charles James Fox. Burney died at Chelsea College on 12 April 1814, and was interred in the burial ground of Chelsea College. A tablet was erected to Burney's memory in Westminster Abbey. ",11
Burney's library was sold at auction by John White of Westminster beginning on 8 August 1814. ,12
== Likenesses and accounts == ,13
"Burney's's portrait was painted by Reynolds in 1781 for Henry Thrale's library. Burney's's bust was cut by Nollekens in 1805. Burney's also appears in James Barry's The Thames (also known as Triumph of Navigation), which was painted in 1791 for the Royal Society of Arts. Burney's had a wide circle of acquaintance among the distinguished artists and literary men of Burney's's day. At one time Burney's thought of writing a life of Burney's's friend Dr Samuel Johnson, but retired before the crowd of biographers who rushed into that field. ",14
"Burney's's eldest son, James Burney, was a distinguished officer in the Royal Navy, who died a rear-admiral in 1821, having accompanied Captain Cook on Captain Cook's last two voyages. Burney's's second son was the Rev. Charles Burney, a major donor of books to the British Museum, and Burney's's second daughter was Frances or Fanny, the novelist, later Madame D'Arblay. Frances or Fanny, the novelist, later Madame D'Arblay's published diary and letters contain many minute and interesting particulars of Frances or Fanny, the novelist, later Madame D'Arblay's father's public and private life, and of Burney's's friends and contemporaries, including Burney's's initial opposition to Frances or Fanny, the novelist, later Madame D'Arblay's marriage to the French refugee Alexandre D'Arblay in 1793 and to Frances or Fanny, the novelist, later Madame D'Arblay's sister Charlotte's remarriage to the pamphleteer and stock jobber Ralph Broome in 1798. A life of Burney's was compiled by Frances or Fanny, the novelist, later Madame D'Arblay and appeared in 1832, but A life of Burney has been criticized consistently for being eulogistic. Burney's's daughter by Burney's's second marriage, Sarah Burney, was likewise a novelist. His daughter by his second marriage, Sarah Burney,'s letters provide interesting, less adulatory information about His daughter by his second marriage, Sarah Burney,'s father. Although His daughter by his second marriage, Sarah Burney, looked after Burney's in Burney's's old age, their personal relations remained poor. ",15
== Cultural references == ,16
"Dr Johnson drew inspiration from The Present State of Music in France and Italy (1771), according to later writers: ""Dr Johnson published an account of Dr Johnson's tour... which was extremely well received, and deemed by the best judges so good a model for travellers who were inclined to give a description of what travellers who were inclined to give a description of what they had seen or observed had seen or observed, that Dr Johnson professedly imitated that clever dog Burney's Musical Tour in Dr Johnson's own Tour of the Hebrides, saying, 'Dr Johnson had Dr Johnson's Musical Tour in Dr Johnson's eye. '""Dr Johnson appears in a story by Lillian de la Torre (Lillian Bueno McCue, 1902–1993), a US writer of historical mysteries, entitled ""The Viotti Stradivarius"", part of Lillian de la Torre (Lillian Bueno McCue, 1902–1993), a US writer of historical mysteries's series featuring Samuel Johnson as a ""detector"" (detective). The story features a fictitious meeting between Dr Johnson, Dr Johnson's daughter Fanny, Giovanni Battista Viotti and Dr Johnson's Stradivarius, and Grigory Grigoryevich Orlov, along with Dr Johnson and James Boswell, in connection with the theft and recovery of the Grigory Grigoryevich Orlov diamond. ",17
"The Cunning Man, an adaptation of Jean-Jacques Rousseau's opera Le Devin du village (1766–67) ",19
Six Sonatas for the harpsichord (1761) ,20
"Two Sonatas for the harpsichord or piano, with accompaniments for violin and violoncello; 2 sets (1769 and 1772) ",21
"Sonatas for two violins and a bass, op. 4 (1759) ",22
Six Lessons for the harpsichord ,23
Six Duets for two German flutes ,24
Three Concertos for the harpsichord ,25
Six Cornet Pieces with an introduction and fugue for the organ ,26
"Six Concertos for the violin, etc., in eight parts, op. 5 (c. 1760) ",27
"Two Sonatas for pianoforte, violin and violoncello ",28
Four Sonatas or Duets for two Performers on One Piano Forte or Harpsichord (1777) ,29
"6 Songs composed for the Temple of Apollo, book 1, op. 2 (c. 1750) ",31
"I will love O Lord my strength, O Lord my strength (Psalm xviii), solo, chorus, orchestra, DMus exercise (1769) ",32
"XII. Canzonetti a due voci in Canone, poesia deli' Abate Metastasio (c. 1790) ",33
"Preludes, Fugues, and Interludes; for the Organ. Alphabetically arranged in all the keys that are most perfectly in tune upon the Organ & printed in a Pocket size for the convenience of Young Organists, for whose use this book is particularly calculated & Published by Chas. Burney, Mus:D. ",34
