ori_text_x,paragraphIndex,ori_text_y,coref_text
"Paganini's travels also brought him into contact with eminent guitar virtuosi of the day, including Ferdinando Carulli in Paris and Mauro Giuliani in Vienna. But this experience did not inspire him to play public concerts with guitar, and even performances of his own guitar trios and quartets were private to the point of being behind closed doors.
",10,"Paganini's travels also brought him into contact with eminent guitar virtuosi of the day, including Ferdinando Carulli in Paris and Mauro Giuliani in Vienna. But this experience did not inspire him to play public concerts with guitar, and even performances of his own guitar trios and quartets were private to the point of being behind closed doors.
","Paganini's's travels also brought Paganini's into contact with eminent guitar virtuosi of the day, including Ferdinando Carulli in Paris and Mauro Giuliani in Vienna. But this experience did not inspire Paganini's to play public concerts with guitar, and even performances of Paganini's's own guitar trios and quartets were private to the point of being behind closed doors.
"
"=== Late career and health decline ===
",11,"=== Late career and health decline ===
","=== Late career and health decline ===
"
"Throughout his life, Paganini was no stranger to chronic illnesses. Although no definite medical proof exists, he was reputed to have been affected by Marfan syndrome or Ehlers–Danlos syndrome. In addition, his frequent concert schedule, as well as his extravagant lifestyle, took their toll on his health. He was diagnosed with syphilis as early as 1822, and his remedy, which included mercury and opium, came with serious physical and psychological side effects. In 1834, while still in Paris, he was treated for tuberculosis. Though his recovery was reasonably quick, after the illness his career was marred by frequent cancellations due to various health problems, from the common cold to depression, which lasted from days to months.
",12,"Throughout his life, Paganini was no stranger to chronic illnesses. Although no definite medical proof exists, he was reputed to have been affected by Marfan syndrome or Ehlers–Danlos syndrome. In addition, his frequent concert schedule, as well as his extravagant lifestyle, took their toll on his health. He was diagnosed with syphilis as early as 1822, and his remedy, which included mercury and opium, came with serious physical and psychological side effects. In 1834, while still in Paris, he was treated for tuberculosis. Though his recovery was reasonably quick, after the illness his career was marred by frequent cancellations due to various health problems, from the common cold to depression, which lasted from days to months.
","Throughout Paganini's life, Paganini was no stranger to chronic illnesses. Although no definite medical proof exists, Paganini was reputed to have been affected by Marfan syndrome or Ehlers–Danlos syndrome. In addition, Paganini's frequent concert schedule, as well as Paganini's extravagant lifestyle, took his frequent concert schedule, as well as his extravagant lifestyle's toll on Paganini's health. Paganini was diagnosed with syphilis as early as 1822, and Paganini's remedy, which included mercury and opium, came with serious physical and psychological side effects. In 1834, while still in Paris, Paganini was treated for tuberculosis. Though Paganini's recovery was reasonably quick, after tuberculosis Paganini's career was marred by frequent cancellations due to various health problems, from the common cold to depression, which lasted from days to months.
"
"In September 1834, Paganini put an end to his concert career and returned to Genoa. Contrary to popular beliefs involving his wishing to keep his music and techniques secret, Paganini devoted his time to the publication of his compositions and violin methods. He accepted students, of whom two enjoyed moderate success: violinist Camillo Sivori and cellist Gaetano Ciandelli. Neither, however, considered Paganini helpful or inspirational. In 1835, Paganini returned to Parma, this time under the employ of Archduchess Marie Louise of Austria, Napoleon's second wife. He was in charge of reorganizing her court orchestra, but he eventually conflicted with the players and court, so his visions never saw completion. In Paris, he befriended the 11-year-old Polish virtuoso Apollinaire de Kontski, giving him some lessons and a signed testimonial. It was widely put about, falsely, that Paganini was so impressed with de Kontski's skills that he bequeathed him his violins and manuscripts.
",13,"In September 1834, Paganini put an end to his concert career and returned to Genoa. Contrary to popular beliefs involving his wishing to keep his music and techniques secret, Paganini devoted his time to the publication of his compositions and violin methods. He accepted students, of whom two enjoyed moderate success: violinist Camillo Sivori and cellist Gaetano Ciandelli. Neither, however, considered Paganini helpful or inspirational. In 1835, Paganini returned to Parma, this time under the employ of Archduchess Marie Louise of Austria, Napoleon's second wife. He was in charge of reorganizing her court orchestra, but he eventually conflicted with the players and court, so his visions never saw completion. In Paris, he befriended the 11-year-old Polish virtuoso Apollinaire de Kontski, giving him some lessons and a signed testimonial. It was widely put about, falsely, that Paganini was so impressed with de Kontski's skills that he bequeathed him his violins and manuscripts.
","In September 1834, Paganini put an end to Paganini's concert career and returned to Genoa. Contrary to popular beliefs involving Paganini's wishing to keep Paganini's music and techniques secret, Paganini devoted Paganini's time to the publication of Paganini's compositions and violin methods. Paganini accepted students, of whom two enjoyed moderate success: violinist Camillo Sivori and cellist Gaetano Ciandelli. Neither, however, considered Paganini helpful or inspirational. In 1835, Paganini returned to Parma, this time under the employ of Archduchess Marie Louise of Austria, Napoleon's second wife. Paganini was in charge of reorganizing Archduchess Marie Louise of Austria, Napoleon's second wife's court orchestra, but Paganini eventually conflicted with the players and court, so Paganini's visions never saw completion. In Paris, Paganini befriended the 11-year-old Polish virtuoso Apollinaire de Kontski, giving the 11-year-old Polish virtuoso Apollinaire de Kontski some lessons and a signed testimonial. It was widely put about, falsely, that Paganini was so impressed with the 11-year-old Polish virtuoso Apollinaire de Kontski's skills that Paganini bequeathed the 11-year-old Polish virtuoso Apollinaire de Kontski Paganini's violins and manuscripts.
"
"=== Final years, death, and burial ===
",14,"=== Final years, death, and burial ===
","=== Final years, death, and burial ===
"
"In 1836, Paganini returned to Paris to set up a casino. Its immediate failure left him in financial ruin, and he auctioned off his personal effects, including his musical instruments, to recoup his losses. At Christmas of 1838, he left Paris for Marseille and, after a brief stay, travelled to Nice where his condition worsened. In May 1840, the Bishop of Nice sent Paganini a local parish priest to perform the last rites. Paganini assumed the sacrament was premature, and refused. A week later, on 27 May 1840, the 57-year-old Paganini died from internal hemorrhaging before a priest could be summoned. Because of this, and his widely rumored association with the devil, the Church denied his body a Catholic burial in Genoa. It took four years and an appeal to the Pope before the Church let his body be transported to Genoa, but it was still not buried. His body was finally buried in 1876, in a cemetery in Parma. In 1893, the Czech violinist František Ondříček persuaded Paganini's grandson, Attila, to allow a viewing of the violinist's body. After this episode, Paganini's body was finally reinterred in a new cemetery in Parma in 1896.
",15,"In 1836, Paganini returned to Paris to set up a casino. Its immediate failure left him in financial ruin, and he auctioned off his personal effects, including his musical instruments, to recoup his losses. At Christmas of 1838, he left Paris for Marseille and, after a brief stay, travelled to Nice where his condition worsened. In May 1840, the Bishop of Nice sent Paganini a local parish priest to perform the last rites. Paganini assumed the sacrament was premature, and refused. A week later, on 27 May 1840, the 57-year-old Paganini died from internal hemorrhaging before a priest could be summoned. Because of this, and his widely rumored association with the devil, the Church denied his body a Catholic burial in Genoa. It took four years and an appeal to the Pope before the Church let his body be transported to Genoa, but it was still not buried. His body was finally buried in 1876, in a cemetery in Parma. In 1893, the Czech violinist František Ondříček persuaded Paganini's grandson, Attila, to allow a viewing of the violinist's body. After this episode, Paganini's body was finally reinterred in a new cemetery in Parma in 1896.
","In 1836, Paganini returned to Paris to set up a casino. a casino's immediate failure left Paganini in financial ruin, and Paganini auctioned off Paganini's personal effects, including Paganini's musical instruments, to recoup Paganini's losses. At Christmas of 1838, Paganini left Paris for Marseille and, after a brief stay, travelled to Nice where Paganini's condition worsened. In May 1840, the Bishop of Nice where his condition worsened sent Paganini a local parish priest to perform the last rites. Paganini assumed the sacrament was premature, and refused. A week later, on 27 May 1840, Paganini died from internal hemorrhaging before a priest could be summoned. Because of this, and Paganini's widely rumored association with the devil, the Church denied Paganini's body a Catholic burial in Genoa. It took four years and an appeal to the Pope before the Church let Paganini's body be transported to Genoa, but his body was still not buried. Paganini's body was finally buried in 1876, in a cemetery in Parma. In 1893, the Czech violinist František Ondříček persuaded Paganini's grandson, Attila, to allow a viewing of Paganini's body. After this episode, Paganini's body was finally reinterred in a new cemetery in Parma in 1896.
"
"== Personal life ==
",16,"== Personal life ==
","== Personal life ==
"
"Though having no shortage of romantic conquests, Paganini was seriously involved with a singer named Antonia Bianchi from Como, whom he met in Milan in 1813. The two gave concerts together throughout Italy. They had a son, Achille Ciro Alessandro, born on 23 July 1825 in Palermo and baptized at San Bartolomeo's. They never legalized their union and it ended around April 1828 in Vienna. Paganini brought Achille on his European tours, and Achille later accompanied his father until the latter's death. He was instrumental in dealing with his father's burial, years after his death.
",17,"Though having no shortage of romantic conquests, Paganini was seriously involved with a singer named Antonia Bianchi from Como, whom he met in Milan in 1813. The two gave concerts together throughout Italy. They had a son, Achille Ciro Alessandro, born on 23 July 1825 in Palermo and baptized at San Bartolomeo's. They never legalized their union and it ended around April 1828 in Vienna. Paganini brought Achille on his European tours, and Achille later accompanied his father until the latter's death. He was instrumental in dealing with his father's burial, years after his death.
","Though having no shortage of romantic conquests, Paganini was seriously involved with a singer named Antonia Bianchi from Como, whom Paganini met in Milan in 1813. The two gave concerts together throughout Italy. They had a son, Achille Ciro Alessandro, born on 23 July 1825 in Palermo and baptized at San Bartolomeo's. They never legalized their union and their union ended around April 1828 in Vienna. Paganini brought Achille on Paganini's European tours, and Achille later accompanied Achille's father until his father's death. Achille was instrumental in dealing with Achille's father's burial, years after his father's death.
"
"Throughout his career, Paganini also became close friends with composers Gioachino Rossini and Hector Berlioz. Rossini and Paganini met in Bologna in the summer of 1818. In January 1821, on his return from Naples, Paganini met Rossini again in Rome, just in time to become the substitute conductor for Rossini's opera Matilde di Shabran, upon the sudden death of the original conductor. Paganini's efforts earned great gratitude from Rossini.
",18,"Throughout his career, Paganini also became close friends with composers Gioachino Rossini and Hector Berlioz. Rossini and Paganini met in Bologna in the summer of 1818. In January 1821, on his return from Naples, Paganini met Rossini again in Rome, just in time to become the substitute conductor for Rossini's opera Matilde di Shabran, upon the sudden death of the original conductor. Paganini's efforts earned great gratitude from Rossini.
","Throughout Paganini's career, Paganini also became close friends with composers Gioachino Rossini and Hector Berlioz. Gioachino Rossini and Paganini met in Bologna in the summer of 1818. In January 1821, on Paganini's return from Naples, Paganini met Gioachino Rossini again in Rome, just in time to become the substitute conductor for Gioachino Rossini's opera Matilde di Shabran, upon the sudden death of the original conductor. Paganini's efforts earned great gratitude from Gioachino Rossini.
"
"Paganini met Berlioz in Paris, and was a frequent correspondent as a penfriend. He commissioned a piece from the composer, but was not satisfied with the resultant four-movement piece for orchestra and viola obbligato, Harold en Italie. He never performed it, and instead it was premiered a year later by violist Christian Urhan. He did, however, write his own Sonata per Gran Viola Op. 35 (with orchestra or guitar accompaniment). Despite his alleged lack of interest in Harold, Paganini often referred to Berlioz as the resurrection of Beethoven and, towards the end of his life, he gave large sums to the composer. They shared an active interest in the guitar, which they both played and used in compositions. Paganini gave Berlioz a guitar, which they both signed on its sound box.
",19,"Paganini met Berlioz in Paris, and was a frequent correspondent as a penfriend. He commissioned a piece from the composer, but was not satisfied with the resultant four-movement piece for orchestra and viola obbligato, Harold en Italie. He never performed it, and instead it was premiered a year later by violist Christian Urhan. He did, however, write his own Sonata per Gran Viola Op. 35 (with orchestra or guitar accompaniment). Despite his alleged lack of interest in Harold, Paganini often referred to Berlioz as the resurrection of Beethoven and, towards the end of his life, he gave large sums to the composer. They shared an active interest in the guitar, which they both played and used in compositions. Paganini gave Berlioz a guitar, which they both signed on its sound box.
","Paganini met Berlioz in Paris, and was a frequent correspondent as a penfriend. Paganini commissioned a piece from Berlioz, but was not satisfied with a piece. Paganini never performed a piece, and instead a piece was premiered a year later by violist Christian Urhan. Paganini did, however, write Paganini's own Sonata per Gran Viola Op. 35 (with orchestra or guitar accompaniment). Despite Paganini's alleged lack of interest in a piece, Paganini often referred to Berlioz as the resurrection of Beethoven and, towards the end of Paganini's life, Paganini gave large sums to Berlioz. They shared an active interest in the guitar, which they both played and used in compositions. Paganini gave Berlioz a guitar, which they both signed on a guitar, which they both signed on its sound box's sound box.
"
"== Playing style ==
",20,"== Playing style ==
","== Playing style ==
"
"=== Instruments ===
",21,"=== Instruments ===
","=== Instruments ===
"
"Paganini was in possession of a number of fine stringed instruments. More legendary than these were the circumstances under which he obtained (and lost) some of them. While Paganini was still a teenager in Livorno, a wealthy businessman named Livron lent him a violin, made by the master luthier Giuseppe Guarneri, for a concert. Livron was so impressed with Paganini's playing that he refused to take it back. This particular violin came to be known as Il Cannone Guarnerius (""The Cannon of Guarnieri"") because of its powerful voice and resonance. On a later occasion in Parma, he won another valuable violin (also by Guarneri) after a difficult sight-reading challenge from a man named Pasini.
",22,"Paganini was in possession of a number of fine stringed instruments. More legendary than these were the circumstances under which he obtained (and lost) some of them. While Paganini was still a teenager in Livorno, a wealthy businessman named Livron lent him a violin, made by the master luthier Giuseppe Guarneri, for a concert. Livron was so impressed with Paganini's playing that he refused to take it back. This particular violin came to be known as Il Cannone Guarnerius (""The Cannon of Guarnieri"") because of its powerful voice and resonance. On a later occasion in Parma, he won another valuable violin (also by Guarneri) after a difficult sight-reading challenge from a man named Pasini.
","Paganini was in possession of a number of fine stringed instruments. More legendary than a number of fine stringed instruments were the circumstances under which Paganini obtained (and lost) some of a number of fine stringed instruments. While Paganini was still a teenager in Livorno, a wealthy businessman named Livron lent Paganini a violin, made by the master luthier Giuseppe Guarneri, for a concert. a wealthy businessman named Livron was so impressed with Paganini's playing that a wealthy businessman named Livron refused to take a violin, made by the master luthier Giuseppe Guarneri back. a violin, made by the master luthier Giuseppe Guarneri came to be known as Il Cannone Guarnerius (""The Cannon of Guarnieri"") because of a violin, made by the master luthier Giuseppe Guarneri's powerful voice and resonance. On a later occasion in Parma, Paganini won another valuable violin (also by the master luthier Giuseppe Guarneri) after a difficult sight-reading challenge from a man named Pasini.
"
"Other instruments associated with Paganini include the Antonio Amati 1600, the Nicolò Amati 1657, the Paganini-Desaint 1680 Stradivari, the Guarneri-filius Andrea 1706, the Le Brun 1712 Stradivari, the Vuillaume c. 1720 Bergonzi, the Hubay 1726 Stradivari, and the Comte Cozio di Salabue 1727 violins; the Countess of Flanders 1582 da Salò-di Bertolotti, and the Mendelssohn 1731 Stradivari violas; the Piatti 1700 Goffriller, the Stanlein 1707 Stradivari, and the Ladenburg 1736 Stradivari cellos; and the Grobert of Mirecourt 1820 (guitar). Four of these instruments were played by the Tokyo String Quartet.
",23,"Other instruments associated with Paganini include the Antonio Amati 1600, the Nicolò Amati 1657, the Paganini-Desaint 1680 Stradivari, the Guarneri-filius Andrea 1706, the Le Brun 1712 Stradivari, the Vuillaume c. 1720 Bergonzi, the Hubay 1726 Stradivari, and the Comte Cozio di Salabue 1727 violins; the Countess of Flanders 1582 da Salò-di Bertolotti, and the Mendelssohn 1731 Stradivari violas; the Piatti 1700 Goffriller, the Stanlein 1707 Stradivari, and the Ladenburg 1736 Stradivari cellos; and the Grobert of Mirecourt 1820 (guitar). Four of these instruments were played by the Tokyo String Quartet.
","Other instruments associated with Paganini include the Antonio Amati 1600, the Nicolò Amati 1657, the Paganini-Desaint 1680 Stradivari, the Guarneri-filius Andrea 1706, the Le Brun 1712 Stradivari, the Vuillaume c. 1720 Bergonzi, the Hubay 1726 Stradivari, and the Comte Cozio di Salabue 1727 violins; the Countess of Flanders 1582 da Salò-di Bertolotti, and the Mendelssohn 1731 Stradivari violas; the Piatti 1700 Goffriller, the Stanlein 1707 Stradivari, and the Ladenburg 1736 Stradivari cellos; and the Grobert of Mirecourt 1820 (guitar). Four of these instruments were played by the Tokyo String Quartet.
"
"Of his guitars, there is little evidence remaining of his various choices of instrument. The aforementioned guitar that he gave to Berlioz is a French instrument made by one Grobert of Mirecourt. The luthier made his instrument in the style of René Lacôte, a more well-known Paris-based guitar-maker. It is preserved and on display in the Musée de la Musique in Paris.
",24,"Of his guitars, there is little evidence remaining of his various choices of instrument. The aforementioned guitar that he gave to Berlioz is a French instrument made by one Grobert of Mirecourt. The luthier made his instrument in the style of René Lacôte, a more well-known Paris-based guitar-maker. It is preserved and on display in the Musée de la Musique in Paris.
","Of his guitars, there is little evidence remaining of his various choices of instrument. The aforementioned guitar that he gave to Berlioz is a French instrument made by one Grobert of Mirecourt. one Grobert of Mirecourt made one Grobert of Mirecourt's instrument in the style of René Lacôte, a more well-known Paris-based guitar-maker. The aforementioned guitar that he gave to Berlioz is preserved and on display in the Musée de la Musique in Paris.
"
"Of the guitars he owned through his life, there was an instrument by Gennaro Fabricatore that he had refused to sell even in his periods of financial stress, and was among the instruments in his possession at the time of his death. There is an unsubstantiated rumour that he also played Stauffer guitars; he may certainly have come across these in his meetings with Giuliani in Vienna.
",25,"Of the guitars he owned through his life, there was an instrument by Gennaro Fabricatore that he had refused to sell even in his periods of financial stress, and was among the instruments in his possession at the time of his death. There is an unsubstantiated rumour that he also played Stauffer guitars; he may certainly have come across these in his meetings with Giuliani in Vienna.
","Of the guitars he owned through his life, there was an instrument by Gennaro Fabricatore that he had refused to sell even in his periods of financial stress, and was among the instruments in his possession at the time of his death. There is an unsubstantiated rumour that he also played Stauffer guitars; he may certainly have come across Stauffer guitars in his meetings with Giuliani in Vienna.
"
"=== Violin technique ===
",26,"=== Violin technique ===
","=== Violin technique ===
"
"The Israeli violinist Ivry Gitlis once referred to Paganini as a phenomenon rather than a development. Though some of the techniques frequently employed by Paganini were already present, most accomplished violinists of the time focused on intonation and bowing techniques. Arcangelo Corelli (1653–1713) was considered a pioneer in transforming the violin from an ensemble instrument to a solo instrument. Other notable violinists included Antonio Vivaldi (1678–1741) and Giuseppe Tartini (1692–1770), who, in their compositions, reflected the increasing technical and musical demands on the violinist. Although the role of the violin in music drastically changed through this period, progress in violin technique was steady but slow. Techniques requiring agility of the fingers and the bow were still considered unorthodox and discouraged by the established community of violinists.
",27,"The Israeli violinist Ivry Gitlis once referred to Paganini as a phenomenon rather than a development. Though some of the techniques frequently employed by Paganini were already present, most accomplished violinists of the time focused on intonation and bowing techniques. Arcangelo Corelli (1653–1713) was considered a pioneer in transforming the violin from an ensemble instrument to a solo instrument. Other notable violinists included Antonio Vivaldi (1678–1741) and Giuseppe Tartini (1692–1770), who, in their compositions, reflected the increasing technical and musical demands on the violinist. Although the role of the violin in music drastically changed through this period, progress in violin technique was steady but slow. Techniques requiring agility of the fingers and the bow were still considered unorthodox and discouraged by the established community of violinists.
","The Israeli violinist Ivry Gitlis once referred to Paganini as a phenomenon rather than a development. Though some of the techniques frequently employed by Paganini were already present, most accomplished violinists of the time focused on intonation and bowing techniques. Arcangelo Corelli (1653–1713) was considered a pioneer in transforming the violin from an ensemble instrument to a solo instrument. Other notable violinists included Antonio Vivaldi (1678–1741) and Giuseppe Tartini (1692–1770), who, in their compositions, reflected the increasing technical and musical demands on the violinist. Although the role of the violin in music drastically changed through this period, progress in violin technique was steady but slow. Techniques requiring agility of the fingers and the bow were still considered unorthodox and discouraged by the established community of violinists.
"
