ori_text_x,paragraphIndex,ori_text_y,coref_text
"Clara Wieck made her official debut on 28 October 1828 at the Gewandhaus in Leipzig, at age nine. The same year, she performed at the Leipzig home of Ernst Carus, director of the mental hospital at Colditz Castle. There, she met another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older. Schumann admired Clara's playing so much that he asked permission from his mother to stop studying law, which had never interested him much, and take music lessons with Clara's father. While taking lessons, he rented a room in the Wieck household and stayed about a year. From September 1831 to April 1832, Clara toured Paris and other European cities, accompanied by her father. In Weimar, she performed a bravura piece by Henri Herz for Goethe, who presented her with a medal with his portrait and a written note saying: ""For the gifted artist Clara Wieck"". During that tour, the violinist Niccolò Paganini, who was also in Paris, offered to appear with her. Her Paris recital was poorly attended because many people had fled the city due to an outbreak of cholera. The tour marked her transition from a child prodigy to a young woman performer.
",10,"Clara Wieck made her official debut on 28 October 1828 at the Gewandhaus in Leipzig, at age nine. The same year, she performed at the Leipzig home of Ernst Carus, director of the mental hospital at Colditz Castle. There, she met another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older. Schumann admired Clara's playing so much that he asked permission from his mother to stop studying law, which had never interested him much, and take music lessons with Clara's father. While taking lessons, he rented a room in the Wieck household and stayed about a year. From September 1831 to April 1832, Clara toured Paris and other European cities, accompanied by her father. In Weimar, she performed a bravura piece by Henri Herz for Goethe, who presented her with a medal with his portrait and a written note saying: ""For the gifted artist Clara Wieck"". During that tour, the violinist Niccolò Paganini, who was also in Paris, offered to appear with her. Her Paris recital was poorly attended because many people had fled the city due to an outbreak of cholera. The tour marked her transition from a child prodigy to a young woman performer.
","Clara Wieck made Clara Wieck's official debut on 28 October The same year at the Gewandhaus in Leipzig, at age nine. The same year, Clara Wieck performed at the Leipzig home of Ernst Carus, director of the mental hospital at Colditz Castle. There, Clara Wieck met another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older. another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older admired Clara Wieck's playing so much that another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older asked permission from another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older's mother to stop studying law, which had never interested another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older much, and take music lessons with Clara Wieck's father. While taking lessons, another gifted young pianist who had been invited to the musical evening, Robert Schumann, who was nine years older rented a room in the Wieck household and stayed about a year. From September 1831 to April 1832, Clara Wieck that tour Paris and other European cities, accompanied by Clara Wieck's father. In Weimar, Clara Wieck performed a bravura piece by Henri Herz for Goethe, who presented Clara Wieck with a medal with Henri Herz's portrait and a written note saying: ""For the gifted artist Clara Wieck"". During that tour, the violinist Niccolò Paganini, who was also in Paris, offered to appear with Clara Wieck. Clara Wieck's Paris recital was poorly attended because many people had fled Paris due to an outbreak of cholera. that tour marked Clara Wieck's transition from a child prodigy to a young woman performer.
"
"==== Success in Vienna ====
",11,"==== Success in Vienna ====
","==== Success in Vienna ====
"
"From December 1837 to April 1838, at the age of 18, Wieck performed a series of recitals in Vienna. Franz Grillparzer, Austria's leading dramatic poet, wrote a poem entitled ""Clara Wieck and Beethoven"" after hearing her perform Beethoven's Appassionata sonata during one of these recitals. She performed to sell-out crowds and laudatory critical reviews; Benedict Randhartinger, a friend of Franz Schubert, gave her an autographed copy of Schubert's Erlkönig, inscribing it ""To the celebrated artist, Clara Wieck."" Chopin described her playing to Franz Liszt, who came to hear one of Wieck's concerts and subsequently praised her extravagantly in a letter that was published in the Parisian Revue et Gazette Musicale and later, in translation, in the Leipzig journal Neue Zeitschrift für Musik. On 15 March, she was named a Königliche und Kaiserliche Österreichische Kammer-virtuosin (""Royal and Imperial Austrian Chamber Virtuoso""), Austria's highest musical honor. An anonymous music critic, describing her Vienna recitals, said: ""The appearance of this artist can be regarded as epoch-making... In her creative hands, the most ordinary passage, the most routine motive acquires a significant meaning, a colour, which only those with the most consummate artistry can give.""
",12,"From December 1837 to April 1838, at the age of 18, Wieck performed a series of recitals in Vienna. Franz Grillparzer, Austria's leading dramatic poet, wrote a poem entitled ""Clara Wieck and Beethoven"" after hearing her perform Beethoven's Appassionata sonata during one of these recitals. She performed to sell-out crowds and laudatory critical reviews; Benedict Randhartinger, a friend of Franz Schubert, gave her an autographed copy of Schubert's Erlkönig, inscribing it ""To the celebrated artist, Clara Wieck."" Chopin described her playing to Franz Liszt, who came to hear one of Wieck's concerts and subsequently praised her extravagantly in a letter that was published in the Parisian Revue et Gazette Musicale and later, in translation, in the Leipzig journal Neue Zeitschrift für Musik. On 15 March, she was named a Königliche und Kaiserliche Österreichische Kammer-virtuosin (""Royal and Imperial Austrian Chamber Virtuoso""), Austria's highest musical honor. An anonymous music critic, describing her Vienna recitals, said: ""The appearance of this artist can be regarded as epoch-making... In her creative hands, the most ordinary passage, the most routine motive acquires a significant meaning, a colour, which only those with the most consummate artistry can give.""
","From December 1837 to April 1838, at the age of 18, Wieck performed a series of recitals in Vienna. Franz Grillparzer, Austria's's leading dramatic poet, wrote a poem entitled ""Wieck and Beethoven"" after hearing Wieck perform Beethoven's Appassionata sonata during one of a series of recitals. Wieck performed to sell-out crowds and laudatory critical reviews; Benedict Randhartinger, a friend of Franz Schubert, gave Wieck an autographed copy of Franz Schubert's Erlkönig, inscribing an autographed copy of Schubert's Erlkönig ""To Wieck."" Chopin described Wieck's playing to Franz Liszt, who came to hear one of Wieck's concerts and subsequently praised Wieck extravagantly in a letter that was published in the Parisian Revue et Gazette Musicale and later, in translation, in the Leipzig journal Neue Zeitschrift für Musik. On 15 March, Wieck was named a Königliche und Kaiserliche Österreichische Kammer-virtuosin (""Royal and Imperial Austrian Chamber Virtuoso""), Austria's's highest musical honor. An anonymous music critic, describing Wieck's Vienna recitals, said: ""The appearance of Wieck can be regarded as epoch-making... In Wieck's creative hands, the most ordinary passage, the most routine motive acquires a significant meaning, a colour, which only those with the most consummate artistry can give.""
"
"=== Lasting relationships ===
",13,"=== Lasting relationships ===
","=== Lasting relationships ===
"
"==== Robert Schumann ====
",14,"==== Robert Schumann ====
","==== Robert Schumann ====
"
"Robert Schumann was a little more than nine years older than Wieck. In 1837, when she was 18, he proposed to her and she accepted. Robert then asked her father for her hand in marriage. Friedrich was strongly opposed to the marriage, and refused his permission. Robert and Clara decided to go to court and sue him. The judge allowed the marriage, which took place in Gedächtniskirche Schönefeld in Leipzig-Schönefeld on 12 September 1840, the day before Clara's 21st birthday, when she attained majority status. From then on, the couple maintained a joint musical and personal diary of their life together. In February 1854, Robert Schumann had a mental collapse, attempted suicide, and was admitted, at his request, to a sanatorium in the village of Endenich near Bonn, where he stayed for the last two years of his life. In March 1854, Brahms, Joachim, Albert Dietrich, and Julius Otto Grimm spent time with Clara Schumann, playing music for her and with her to divert her mind from the tragedy. Brahms composed some private piano pieces for her to console her: four piano pieces and a set of variations on a theme by Robert Schumann that she had also written variations on a year earlier, as her Op. 20. The music by Brahms was not intended to be published, but for her alone. Brahms later thought to publish them anonymously, but eventually they were issued as his four Ballades, Op. 10, and Variations on a Theme by Robert Schumann, Op. 9. Brahms dedicated the variations to both Schumanns, hoping that Robert would be released soon and rejoined with his family. For the entire two years of Robert Schumann's stay at the institution, his wife was not permitted to visit him, while Brahms visited him regularly. When it was apparent that Robert was near death, she was finally admitted to see him. He appeared to recognize her, but could only speak a few words. Robert Schumann died two days later, on 29 July 1856.
",15,"Robert Schumann was a little more than nine years older than Wieck. In 1837, when she was 18, he proposed to her and she accepted. Robert then asked her father for her hand in marriage. Friedrich was strongly opposed to the marriage, and refused his permission. Robert and Clara decided to go to court and sue him. The judge allowed the marriage, which took place in Gedächtniskirche Schönefeld in Leipzig-Schönefeld on 12 September 1840, the day before Clara's 21st birthday, when she attained majority status. From then on, the couple maintained a joint musical and personal diary of their life together. In February 1854, Robert Schumann had a mental collapse, attempted suicide, and was admitted, at his request, to a sanatorium in the village of Endenich near Bonn, where he stayed for the last two years of his life. In March 1854, Brahms, Joachim, Albert Dietrich, and Julius Otto Grimm spent time with Clara Schumann, playing music for her and with her to divert her mind from the tragedy. Brahms composed some private piano pieces for her to console her: four piano pieces and a set of variations on a theme by Robert Schumann that she had also written variations on a year earlier, as her Op. 20. The music by Brahms was not intended to be published, but for her alone. Brahms later thought to publish them anonymously, but eventually they were issued as his four Ballades, Op. 10, and Variations on a Theme by Robert Schumann, Op. 9. Brahms dedicated the variations to both Schumanns, hoping that Robert would be released soon and rejoined with his family. For the entire two years of Robert Schumann's stay at the institution, his wife was not permitted to visit him, while Brahms visited him regularly. When it was apparent that Robert was near death, she was finally admitted to see him. He appeared to recognize her, but could only speak a few words. Robert Schumann died two days later, on 29 July 1856.
","Robert Schumann was a little more than nine years older than Wieck. In 1837, when she was 18, Robert Schumann proposed to her and she accepted. Robert Schumann then asked her father for her hand in marriage. her father was strongly opposed to marriage, and refused her father's permission. Robert Schumann and Clara decided to go to court and sue her father. The judge allowed the marriage, which took place in Gedächtniskirche Schönefeld in Leipzig-Schönefeld on 12 September 1840, the day before Clara's 21st birthday, when Clara attained majority status. From then on, Robert and Clara maintained a joint musical and personal diary of Robert and Clara's life together. In February 1854, Robert Schumann had a mental collapse, attempted suicide, and was admitted, at Robert Schumann's request, to a sanatorium in the village of Endenich near Bonn, where Robert Schumann stayed for the last two years of Robert Schumann's life. In March 1854, Brahms, Joachim, Albert Dietrich, and Julius Otto Grimm spent time with Clara, playing music for Clara and with Clara to divert Clara's mind from the tragedy. Brahms composed some private piano pieces for Clara to console Clara: four piano pieces and a set of variations on a theme by Robert Schumann that Clara had also written variations on a year earlier, as Clara's Op. 20. The music by Brahms was not intended to be published, but for her alone. Brahms later thought to publish The music by Brahms anonymously, but eventually The music by Brahms were issued as Brahms's four Ballades, Op. 10, and Variations on a Theme by Robert Schumann, Op. 9. Brahms dedicated The music by Brahms to Robert and Clara, hoping that Robert Schumann would be released soon and rejoined with Robert Schumann's family. For the entire two years of Robert Schumann's stay at the institution, Robert Schumann's wife was not permitted to visit Robert Schumann, while Brahms visited Robert Schumann regularly. When it was apparent that Robert Schumann was near death, Clara was finally admitted to see Robert Schumann. Robert Schumann appeared to recognize Clara, but could only speak a few words. Robert Schumann died two days later, on 29 July 1856.
"
"==== Joseph Joachim ====
",16,"==== Joseph Joachim ====
","==== Joseph Joachim ====
"
"The Schumanns first met violinist Joseph Joachim in November 1844, when he was 14 years old. A year later, Clara Schumann wrote in her diary that in a concert on 11 November 1845, ""little Joachim was very much liked. He played a new violin concerto by Felix Mendelssohn, which is said to be wonderful."" In May 1853, they heard Joachim play the solo part in Beethoven's Violin Concerto. She wrote that he played ""with a finish, a depth of poetic feeling, his whole soul in every note, so ideally, that I have never heard violin-playing like it, and I can truly say that I have never received so indelible an impression from any virtuoso."" A lasting friendship developed between Clara and Joseph, which for more than forty years never failed her in things great or small, never wavered in its loyalty. Over her career, Schumann gave over 238 concerts with Joachim in Germany and Britain, more than with any other artist. The two were particularly noted for their playing of Beethoven's violin sonatas.
",17,"The Schumanns first met violinist Joseph Joachim in November 1844, when he was 14 years old. A year later, Clara Schumann wrote in her diary that in a concert on 11 November 1845, ""little Joachim was very much liked. He played a new violin concerto by Felix Mendelssohn, which is said to be wonderful."" In May 1853, they heard Joachim play the solo part in Beethoven's Violin Concerto. She wrote that he played ""with a finish, a depth of poetic feeling, his whole soul in every note, so ideally, that I have never heard violin-playing like it, and I can truly say that I have never received so indelible an impression from any virtuoso."" A lasting friendship developed between Clara and Joseph, which for more than forty years never failed her in things great or small, never wavered in its loyalty. Over her career, Schumann gave over 238 concerts with Joachim in Germany and Britain, more than with any other artist. The two were particularly noted for their playing of Beethoven's violin sonatas.
","The Schumanns first met violinist Joseph Joachim in November 1844, when violinist Joseph Joachim was 14 years old. A year later, Clara Schumann wrote in Clara Schumann's diary that in a concert on 11 November 1845, ""violinist Joseph Joachim was very much liked. violinist Joseph Joachim played a new violin concerto by Felix Mendelssohn, which is said to be wonderful."" In May 1853, The Schumanns heard violinist Joseph Joachim play the solo part in Beethoven's's Violin Concerto. Clara Schumann wrote that violinist Joseph Joachim played ""with a finish, a depth of poetic feeling, violinist Joseph Joachim's whole soul in every note, so ideally, that Clara Schumann have never heard violin-playing like it, and Clara Schumann can truly say that Clara Schumann have never received so indelible an impression from any virtuoso."" A lasting friendship developed between Clara Schumann and violinist Joseph Joachim, which for more than forty years never failed Clara Schumann in things great or small, never wavered in A lasting friendship developed between Clara and Joseph, which for more than forty years never failed her in things great or small, never wavered in its loyalty's loyalty. Over Clara Schumann's career, Clara Schumann gave over 238 concerts with violinist Joseph Joachim in Germany and Britain, more than with any other artist. The Schumanns were particularly noted for The Schumanns's playing of Beethoven's's violin sonatas.
"
"==== Johannes Brahms ====
",18,"==== Johannes Brahms ====
","==== Johannes Brahms ====
"
"In early 1853, the then-unknown 20-year-old Johannes Brahms met Joachim and made a very favorable impression. Brahms received from him a letter of introduction to Robert Schumann, and thus presented himself at the Schumanns' home in Düsseldorf. Brahms played some of his piano solo compositions for the Schumanns, and they were deeply impressed. Robert published an article highly lauding Brahms, and Clara wrote in the diary that Brahms ""seemed as if sent straight from God"". During Robert Schumann's last years, confined to an asylum, Brahms was a strong presence for the Schumann family. His letters indicate his strong feelings for Clara. Their relationship has been interpreted as somewhere between friendship and love, and Brahms always maintained the utmost respect for her, as a woman and a talented musician. Brahms played his First Symphony for her before its premiere. She gave some advice about the Adagio, which he took to heart. She expressed her appreciation of the Symphony as a whole, but mentioned her dissatisfaction with the endings of the third and fourth movements. She was the first to perform many of his works in public, including the Variations and Fugue on a Theme by Handel, a solo piano work written by Brahms in 1861.
",19,"In early 1853, the then-unknown 20-year-old Johannes Brahms met Joachim and made a very favorable impression. Brahms received from him a letter of introduction to Robert Schumann, and thus presented himself at the Schumanns' home in Düsseldorf. Brahms played some of his piano solo compositions for the Schumanns, and they were deeply impressed. Robert published an article highly lauding Brahms, and Clara wrote in the diary that Brahms ""seemed as if sent straight from God"". During Robert Schumann's last years, confined to an asylum, Brahms was a strong presence for the Schumann family. His letters indicate his strong feelings for Clara. Their relationship has been interpreted as somewhere between friendship and love, and Brahms always maintained the utmost respect for her, as a woman and a talented musician. Brahms played his First Symphony for her before its premiere. She gave some advice about the Adagio, which he took to heart. She expressed her appreciation of the Symphony as a whole, but mentioned her dissatisfaction with the endings of the third and fourth movements. She was the first to perform many of his works in public, including the Variations and Fugue on a Theme by Handel, a solo piano work written by Brahms in 1861.
","In early 1853, the then-unknown 20-year-old Johannes Brahms met Joachim and made a very favorable impression. the then-unknown 20-year-old Johannes Brahms received from Joachim a letter of introduction to Robert Schumann, and thus presented the then-unknown 20-year-old Johannes Brahms at the Schumanns''s home in Düsseldorf. the then-unknown 20-year-old Johannes Brahms played some of the then-unknown 20-year-old Johannes Brahms's piano solo compositions for the Schumanns', and the Schumanns' were deeply impressed. Robert Schumann published an article highly lauding the then-unknown 20-year-old Johannes Brahms, and Joachim wrote in the diary that the then-unknown 20-year-old Johannes Brahms ""seemed as if sent straight from God"". During Robert Schumann's last years, confined to an asylum, the then-unknown 20-year-old Johannes Brahms was a strong presence for the Schumann family. the then-unknown 20-year-old Johannes Brahms's letters indicate the then-unknown 20-year-old Johannes Brahms's strong feelings for Joachim. Their relationship has been interpreted as somewhere between friendship and love, and the then-unknown 20-year-old Johannes Brahms always maintained the utmost respect for Joachim, as a woman and a talented musician. the then-unknown 20-year-old Johannes Brahms played the then-unknown 20-year-old Johannes Brahms's First Symphony for Joachim before his First Symphony's premiere. Joachim gave some advice about the Adagio, which the then-unknown 20-year-old Johannes Brahms took to heart. Joachim expressed Joachim's appreciation of his First Symphony, but mentioned Joachim's dissatisfaction with the endings of the third and fourth movements. Joachim was the first to perform many of the then-unknown 20-year-old Johannes Brahms's works in public, including the Variations and Fugue on a Theme by Handel, a solo piano work written by the then-unknown 20-year-old Johannes Brahms in 1861.
"
"=== Concert tours ===
",20,"=== Concert tours ===
","=== Concert tours ===
"
"Clara Schumann first toured England in April 1856, while her husband was still living but unable to travel. She was invited to play in a London Philharmonic Society concert by conductor William Sterndale Bennett, a good friend of Robert's. She was displeased with the little time spent on rehearsals: ""They call it a rehearsal here if a piece is played through once."" She wrote that musical ""artists"" in England ""allow themselves to be treated as inferiors."" She was happy, though, to hear the cellist Alfredo Piatti play with ""a tone, a bravura, a certainty, such as I never heard before"". In May 1856, she played Schumann's Piano Concerto in A minor with the New Philharmonic Society conducted by Dr Wylde, who as she said had ""led a dreadful rehearsal"" and ""could not grasp the rhythm of the last movement"". Still, she returned to London the following year and continued to perform in Britain for the next 15 years.
",21,"Clara Schumann first toured England in April 1856, while her husband was still living but unable to travel. She was invited to play in a London Philharmonic Society concert by conductor William Sterndale Bennett, a good friend of Robert's. She was displeased with the little time spent on rehearsals: ""They call it a rehearsal here if a piece is played through once."" She wrote that musical ""artists"" in England ""allow themselves to be treated as inferiors."" She was happy, though, to hear the cellist Alfredo Piatti play with ""a tone, a bravura, a certainty, such as I never heard before"". In May 1856, she played Schumann's Piano Concerto in A minor with the New Philharmonic Society conducted by Dr Wylde, who as she said had ""led a dreadful rehearsal"" and ""could not grasp the rhythm of the last movement"". Still, she returned to London the following year and continued to perform in Britain for the next 15 years.
","Clara Schumann first toured England in April 1856, while Clara Schumann's husband was still living but unable to travel. Clara Schumann was invited to play in a London Philharmonic Society concert by conductor William Sterndale Bennett, a good friend of her husband's. Clara Schumann was displeased with the little time spent on rehearsals: ""They call it a rehearsal here if a piece is played through once."" Clara Schumann wrote that musical ""artists"" in England ""allow musical ""artists"" in England "" to be treated as inferiors."" Clara Schumann was happy, though, to hear the cellist Alfredo Piatti play with ""a tone, a bravura, a certainty, such as Clara Schumann never heard before"". In May 1856, Clara Schumann played Schumann's Piano Concerto in A minor with the New Philharmonic Society conducted by Dr Wylde, who as Clara Schumann said had ""led a dreadful rehearsal"" and ""could not grasp the rhythm of the last movement"". Still, Clara Schumann returned to London the following year and continued to perform in England for the next 15 years.
"
